Created at	Labels	CreatedAtConverted
2019-10-11 04:58:37.0	[fixing approved issue, codebase quality]	10/11/2019 04:58:37
2019-10-11 08:22:56.0	[Bug, fixing approved issue]	10/11/2019 08:22:56
2019-10-14 23:53:20.0	[Enhancement, fixing approved issue]	10/14/2019 23:53:20
2019-10-21 19:07:06.0	[fixing approved issue, codebase quality]	10/21/2019 19:07:06
2019-10-21 20:46:24.0	[Pri: 3, Area: World-Readiness, fixed, hacktoberfest]	10/21/2019 20:46:24
2019-10-25 13:28:26.0	[Enhancement, fixing approved issue]	10/25/2019 13:28:26
2019-10-26 08:26:54.0	[Area: User Experience, fixed]	10/26/2019 08:26:54
2019-10-26 09:12:14.0	[Bug, fixing approved issue]	10/26/2019 09:12:14
2019-10-26 10:15:44.0	[fixed, codebase quality, approved]	10/26/2019 10:15:44
2019-10-26 10:29:42.0	[fixing approved issue, codebase quality]	10/26/2019 10:29:42
2019-10-26 11:13:53.0	[Bug, fixing approved issue]	10/26/2019 11:13:53
2019-10-28 08:26:55.0	[Pri: 3, Area: User Experience, fixed]	10/28/2019 08:26:55
2019-10-28 08:36:45.0	[Bug, fixing approved issue]	10/28/2019 08:36:45
2019-10-28 09:02:08.0	[Bug, Pri: 3, triage approved, Area: User Experience, fixed]	10/28/2019 09:02:08
2019-10-28 23:04:13.0	[Area: User Experience, fixed, Pri: 2]	10/28/2019 23:04:13
2019-10-29 00:10:19.0	[Bug, fixing approved issue]	10/29/2019 00:10:19
2019-10-29 01:45:42.0	[Area: Reliability, fixed, Pri: 2]	10/29/2019 01:45:42
2019-10-29 04:26:23.0	[Bug, fixing approved issue]	10/29/2019 04:26:23
2019-10-29 04:38:10.0	[fixing approved issue, codebase quality]	10/29/2019 04:38:10
2019-10-29 05:44:56.0	[fixing approved issue, codebase quality]	10/29/2019 05:44:56
2019-10-29 15:28:16.0	[fixing approved issue]	10/29/2019 15:28:16
2019-10-31 00:59:14.0	[fixing approved issue]	10/31/2019 00:59:14
2019-11-02 00:19:56.0	[fixing approved issue, codebase quality]	11/02/2019 00:19:56
2019-11-05 00:41:57.0	[fixing approved issue, codebase quality]	11/05/2019 00:41:57
2019-11-05 07:28:47.0	[fixing approved issue, codebase quality]	11/05/2019 07:28:47
2019-11-06 20:09:50.0	[fixing approved issue, needs author feedback]	11/06/2019 20:09:50
2019-11-06 22:52:05.0	[fixed, approved]	11/06/2019 22:52:05
2019-11-07 08:49:44.0	[fixing approved issue, codebase quality]	11/07/2019 08:49:44
2019-11-09 03:47:03.0	[fixing approved issue, codebase quality]	11/09/2019 03:47:03
2019-11-12 10:02:44.0	[Area: User Experience, fixed, Pri: 1]	11/12/2019 10:02:44
2019-11-13 22:42:23.0	[fixed, codebase quality, approved]	11/13/2019 22:42:23
2019-11-14 07:21:38.0	[fixed, codebase quality, approved]	11/14/2019 07:21:38
2019-11-14 18:46:24.0	[Bug, Area: Accessibility, fixed, Pri: 1]	11/14/2019 18:46:24
2019-11-18 16:46:33.0	[fixing approved issue, codebase quality]	11/18/2019 16:46:33
2019-11-18 21:01:53.0	[fixing approved issue, codebase quality]	11/18/2019 21:01:53
2019-11-19 17:53:53.0	[fixed, codebase quality]	11/19/2019 17:53:53
2019-11-21 20:26:07.0	[Pri: 3, Area: User Experience, fixed]	11/21/2019 20:26:07
2019-11-22 00:19:17.0	[fixed, codebase quality, approved]	11/22/2019 00:19:17
2019-11-22 07:29:23.0	[Area: User Experience, fixed, Pri: 2]	11/22/2019 07:29:23
2019-11-23 13:27:06.0	[Bug, fixing approved issue]	11/23/2019 13:27:06
2019-11-25 21:12:06.0	[fixed, codebase quality, approved]	11/25/2019 21:12:06
2019-11-30 03:21:46.0	[Bug, fixing approved issue]	11/30/2019 03:21:46
2019-12-05 23:17:30.0	[Bug, Area: User Experience, fixed, Pri: 2]	12/05/2019 23:17:30
2019-12-11 13:07:30.0	[Area: User Experience, fixed]	12/11/2019 13:07:30
2019-12-17 15:35:03.0	[fixed, codebase quality]	12/17/2019 15:35:03
2019-12-17 19:45:06.0	[fixed, codebase quality]	12/17/2019 19:45:06
2019-12-18 21:12:37.0	[fixed, codebase quality]	12/18/2019 21:12:37
2019-12-19 14:50:12.0	[fixed, codebase quality, approved]	12/19/2019 14:50:12
2020-01-03 09:36:19.0	[fixed, build]	01/03/2020 09:36:19
2020-01-03 23:24:54.0	[fixing approved issue]	01/03/2020 23:24:54
2020-01-07 23:22:00.0	[fixed, approved]	01/07/2020 23:22:00
2020-01-07 23:32:21.0	[Area: User Experience, fixed]	01/07/2020 23:32:21
2020-01-08 23:49:51.0	[fixed, approved]	01/08/2020 23:49:51
2020-01-09 19:31:24.0	[Area: User Experience, fixed]	01/09/2020 19:31:24
2020-01-17 00:30:30.0	[fixing approved issue, graphing calculator]	01/17/2020 00:30:30
2020-01-17 17:41:39.0	[Area: Accessibility, fixed, Pri: 1]	01/17/2020 17:41:39
2020-01-17 18:08:19.0	[Area: Accessibility, fixed, Pri: 2]	01/17/2020 18:08:19
2020-01-17 18:11:25.0	[Area: Accessibility, fixed, Pri: 1]	01/17/2020 18:11:25
2020-01-17 18:16:09.0	[Area: Accessibility, fixed, Pri: 1]	01/17/2020 18:16:09
2020-01-17 18:49:13.0	[Area: Reliability, fixed, Pri: 1]	01/17/2020 18:49:13
2020-01-17 18:52:04.0	[fixing approved issue, graphing calculator]	01/17/2020 18:52:04
2020-01-18 00:57:58.0	[Bug, Pri: 3, Area: User Experience, fixed]	01/18/2020 00:57:58
2020-01-21 12:02:14.0	[Area: User Experience, fixed, Pri: 1]	01/21/2020 12:02:14
2020-01-21 22:16:39.0	[Area: User Experience, fixed]	01/21/2020 22:16:39
2020-01-23 18:04:23.0	[fixing approved issue]	01/23/2020 18:04:23
2020-01-24 14:37:23.0	[Bug, Area: World-Readiness, fixed, Pri: 2]	01/24/2020 14:37:23
2020-01-25 00:31:28.0	[fixed]	01/25/2020 00:31:28
2020-01-30 07:14:01.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:14:01
2020-01-30 07:14:07.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:14:07
2020-01-30 07:14:13.0	[Area: Performance, fixed, Pri: 0]	01/30/2020 07:14:13
2020-01-30 07:14:21.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:14:21
2020-01-30 07:14:27.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:14:27
2020-01-30 07:14:30.0	[Bug, Pri: 3, Area: User Experience, fixed]	01/30/2020 07:14:30
2020-01-30 07:14:55.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:14:55
2020-01-30 07:14:59.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:14:59
2020-01-30 07:15:02.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:02
2020-01-30 07:15:05.0	[Bug, Area: User Experience, fixed, Pri: 2]	01/30/2020 07:15:05
2020-01-30 07:15:08.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:08
2020-01-30 07:15:13.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:15:13
2020-01-30 07:15:16.0	[Bug, Area: User Experience, fixed, Pri: 2]	01/30/2020 07:15:16
2020-01-30 07:15:19.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:19
2020-01-30 07:15:22.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:22
2020-01-30 07:15:24.0	[Bug, Area: User Experience, fixed, Pri: 2]	01/30/2020 07:15:24
2020-01-30 07:15:27.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:15:27
2020-01-30 07:15:30.0	[Area: User Experience, fixed, Pri: 2]	01/30/2020 07:15:30
2020-01-30 07:15:45.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:45
2020-01-30 07:15:51.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:51
2020-01-30 07:15:54.0	[Area: User Experience, fixed, Pri: 1]	01/30/2020 07:15:54
2020-01-30 07:15:57.0	[Area: World-Readiness, fixed, Pri: 1]	01/30/2020 07:15:57
2020-01-31 20:01:11.0	[fixing approved issue]	01/31/2020 20:01:11
2020-02-04 04:37:14.0	[Area: User Experience, fixed, Pri: 1]	02/04/2020 04:37:14
2020-02-04 04:41:57.0	[Bug, Pri: 3, Area: User Experience, fixed]	02/04/2020 04:41:57
2020-02-04 04:44:58.0	[Area: User Experience, fixed, Pri: 2]	02/04/2020 04:44:58
2020-02-04 18:43:12.0	[fixing approved issue, graphing calculator]	02/04/2020 18:43:12
2020-02-06 06:30:56.0	[Area: Reliability, fixing approved issue]	02/06/2020 06:30:56
2020-02-13 19:51:11.0	[Area: User Experience, fixed, Pri: 1]	02/13/2020 19:51:11
2020-02-13 22:05:28.0	[fixed]	02/13/2020 22:05:28
2020-02-13 22:06:57.0	[Area: Reliability, fixed, Pri: 1]	02/13/2020 22:06:57
2020-02-15 00:31:29.0	[Area: Diagnostic Data, fixed]	02/15/2020 00:31:29
2020-02-25 20:14:38.0	[Bug, Area: User Experience, fixed, Pri: 1]	02/25/2020 20:14:38
2020-02-26 23:46:19.0	[Bug, Area: World-Readiness, fixed, Pri: 1]	02/26/2020 23:46:19
2020-03-05 23:01:33.0	[Bug, Area: User Experience, fixed, Pri: 1]	03/05/2020 23:01:33
2020-03-05 23:01:37.0	[Area: User Experience, fixed, Pri: 1]	03/05/2020 23:01:37
2020-03-05 23:01:40.0	[Bug, Area: User Experience, fixed, Pri: 1]	03/05/2020 23:01:40
2020-03-05 23:01:43.0	[Bug, Area: User Experience, fixed, Pri: 1]	03/05/2020 23:01:43
2020-03-05 23:01:46.0	[Bug, Area: User Experience, fixed, Pri: 2]	03/05/2020 23:01:46
2020-03-09 22:01:52.0	[fixing approved issue]	03/09/2020 22:01:52
2020-03-10 01:14:23.0	[Bug, Area: User Experience, fixed]	03/10/2020 01:14:23
2020-03-17 23:02:48.0	[Area: Accessibility, fixed, Pri: 1]	03/17/2020 23:02:48
2020-03-23 17:41:29.0	[Bug, Area: Accessibility, fixed, Pri: 1]	03/23/2020 17:41:29
2020-03-23 17:41:32.0	[Bug, Area: Accessibility, fixed, Pri: 1]	03/23/2020 17:41:32
2020-03-23 17:47:09.0	[Bug, Area: Accessibility, fixed, Pri: 2]	03/23/2020 17:47:09
2020-03-26 21:05:25.0	[Bug, Area: Reliability, fixed, Pri: 2]	03/26/2020 21:05:25
2020-03-31 19:48:08.0	[Bug, Area: Accessibility, fixed, Pri: 2]	03/31/2020 19:48:08
2020-03-31 19:48:13.0	[Bug, Area: Accessibility, fixed, Pri: 2]	03/31/2020 19:48:13
2020-03-31 19:48:16.0	[Bug, Area: Accessibility, Pri: 3, fixed]	03/31/2020 19:48:16
2020-03-31 19:48:20.0	[Bug, Area: Accessibility, fixed, Pri: 1]	03/31/2020 19:48:20
2020-03-31 19:48:27.0	[Bug, Area: Accessibility, fixed, Pri: 1]	03/31/2020 19:48:27
2020-03-31 22:47:33.0	[Bug, Area: Accessibility, fixed, Pri: 2]	03/31/2020 22:47:33
2020-04-02 17:19:31.0	[Bug, Area: User Experience, fixed, Pri: 2]	04/02/2020 17:19:31
2020-04-03 16:58:35.0	[Area: Reliability, fixed, Pri: 2]	04/03/2020 16:58:35
2020-04-07 23:05:06.0	[Bug, Area: User Experience, fixed, Pri: 1]	04/07/2020 23:05:06
2020-04-08 21:24:30.0	[Bug, Area: User Experience, fixed, Pri: 1]	04/08/2020 21:24:30
2020-04-10 00:06:22.0	[Bug, Area: User Experience, fixed, Pri: 2]	04/10/2020 00:06:22
2020-04-10 22:20:29.0	[Bug, Area: User Experience, fixed, Pri: 1]	04/10/2020 22:20:29
2020-04-14 05:02:42.0	[Area: Accessibility, fixed, Pri: 2]	04/14/2020 05:02:42
2020-04-14 05:02:45.0	[Area: Accessibility, Pri: 3, fixed]	04/14/2020 05:02:45
2020-04-14 05:02:48.0	[Area: Accessibility, fixed, Pri: 2]	04/14/2020 05:02:48
2020-04-14 05:02:54.0	[Bug, Area: Accessibility, Pri: 3, fixed]	04/14/2020 05:02:54
2020-04-16 21:43:49.0	[Bug, Area: User Experience, fixed, Pri: 2]	04/16/2020 21:43:49
2020-04-16 22:26:41.0	[Bug, Area: Reliability, fixed, Pri: 1]	04/16/2020 22:26:41
2020-04-17 17:05:51.0	[Bug, Area: User Experience, fixed, Pri: 1]	04/17/2020 17:05:51
2020-04-17 17:05:55.0	[good first issue, Bug, Pri: 3, Area: User Experience, fixed]	04/17/2020 17:05:55
2020-04-17 17:05:58.0	[Bug, Area: User Experience, fixed, Pri: 2]	04/17/2020 17:05:58
2020-04-17 17:06:01.0	[Bug, Pri: 3, Area: User Experience, fixed]	04/17/2020 17:06:01
2020-04-17 17:06:04.0	[Bug, Pri: 3, Area: User Experience, fixed]	04/17/2020 17:06:04
2020-04-17 17:06:08.0	[Bug, Area: User Experience, fixed, Pri: 2]	04/17/2020 17:06:08
2020-04-17 17:06:10.0	[Bug, Pri: 3, Area: User Experience, fixed]	04/17/2020 17:06:10
2020-04-28 23:01:31.0	[Bug, Area: Reliability, fixed, Pri: 1]	04/28/2020 23:01:31
2020-05-09 07:45:41.0	[fixing approved issue]	05/09/2020 07:45:41
2020-05-22 21:39:37.0	[Bug, Area: Reliability, fixed, Pri: 2]	05/22/2020 21:39:37
2020-05-30 08:03:10.0	[Bug, fixed, Pri: 1]	05/30/2020 08:03:10
2020-06-16 09:02:14.0	[Bug, Area: Reliability, fixed, Pri: 2]	06/16/2020 09:02:14
2020-06-16 09:02:19.0	[Bug, Area: User Experience, fixed, Pri: 1]	06/16/2020 09:02:19
2020-06-16 09:02:23.0	[Bug, Area: Reliability, fixed, Pri: 2]	06/16/2020 09:02:23
2020-06-16 09:02:31.0	[Bug, Area: User Experience, fixed, Pri: 2]	06/16/2020 09:02:31
2020-07-12 15:40:20.0	[fixing approved issue]	07/12/2020 15:40:20
2020-08-06 16:58:14.0	[fixing approved issue]	08/06/2020 16:58:14
2020-08-06 21:51:12.0	[fixing approved issue]	08/06/2020 21:51:12
2020-08-08 02:01:27.0	[fixing approved issue]	08/08/2020 02:01:27
2020-08-10 13:32:44.0	[fixing approved issue]	08/10/2020 13:32:44
2020-08-11 13:16:02.0	[fixing approved issue]	08/11/2020 13:16:02
2020-08-11 15:05:38.0	[fixing approved issue]	08/11/2020 15:05:38
2020-11-12 02:46:27.0	[fixing approved issue]	11/12/2020 02:46:27
2020-11-18 17:47:04.0	[Bug, triage approved, Area: Test Case, fixed, Pri: 1]	11/18/2020 17:47:04
2020-11-29 04:27:21.0	[fixing approved issue]	11/29/2020 04:27:21
2020-12-06 08:06:35.0	[fixing approved issue]	12/06/2020 08:06:35
2021-01-07 05:55:30.0	[Bug, Area: Accessibility, fixed, Pri: 1]	01/07/2021 05:55:30
2021-02-20 14:18:22.0	[Bug, Area: User Experience, fixed, Pri: 1]	02/20/2021 14:18:22
2021-06-02 17:26:59.0	[fixing approved issue]	06/02/2021 17:26:59
2021-07-13 03:15:36.0	[fixing approved issue]	07/13/2021 03:15:36
